id_oferta,cargo,empresa,ciudad,salario_publicado,salario_mensual_base,segmento_salarial,experiencia_requerida,nivel_experiencia,educacion_minima,educacion_minima_valor,modalidad,es_remoto,es_presencial,tipo_contrato,jornada,tiempo_parcial,menciones_tecnologia
8C39916808949D3F61373E686DCF3405,Analista de Créditos y Cobranzas,Eurofirms Perú,San Isidro,0,,,0,Junior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
ED31FA4ABCE1FFAE61373E686DCF3405,Analista de Marketing,Grupo DN,Villa El Salvador,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,5
CDCE5090A62C406161373E686DCF3405,Analista de Comercial / Ventas,Importante empresa del sector,Lima,0,,,0,Junior,universitario,4,Remoto,1,0,Contrato por Inicio o Incremento de Actividad,Completa,0,3
CA0D5356E06046B061373E686DCF3405,Analista (General),OPTICAL NETWORKS S.A.C.,Surquillo,1,1600.0,Alto,1,Junior,técnico,3,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
DF233DDD6B51CFF761373E686DCF3405,Analista de Contabilidad / Nóminas,Grupo Educa_d,Santiago De Surco,0,,,3,Mid-Level,universitario,4,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
B2DCEDB94C6928CA61373E686DCF3405,Analista de Contabilidad / Nóminas,Pyramid Businesses SAC,Comas,0,,,2,Mid-Level,técnico,3,Presencial,0,1,Contrato a Plazo Indeterminado,Completa,0,4
D7250A537BB8EDA361373E686DCF3405,Analista de RRHH,Salesland Pacífico,Lima,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
D445A45ABD2B191D61373E686DCF3405,Analista de TI / Sistemas,Grupo Pacasmayo,Santiago De Surco,0,,,3,Mid-Level,universitario,4,Híbrido,1,1,Contrato a Plazo Indeterminado,Completa,0,4
1BE7291B2AC9510461373E686DCF3405,Analista de Logística / Operaciones,SaniCenter SAC,San Martin De Porres,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato Ocasional,Completa,0,3
AAC8B79904A9485561373E686DCF3405,Analista de TI / Sistemas,Software Enterprise Services SAC,Lima,0,,,1,Junior,universitario,4,Híbrido,1,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,4
20348AE4833758DC61373E686DCF3405,Analista de Logística / Operaciones,Importante empresa del sector Industrial,Lima,1,2500.0,Alto,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
E529350278DE8D6A61373E686DCF3405,Analista de Calidad / SSOMA,LABORATORIOS DROGAVET SAC,Lurigancho,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
B7ABF8EDDBF69DAD61373E686DCF3405,Analista de RRHH,Apex America Perú,Miraflores,1,2500.0,Alto,2,Mid-Level,universitario,4,Presencial,0,1,Contrato de Temporada,Completa,0,4
DAEE43491B294C1E61373E686DCF3405,Analista de TI / Sistemas,SAME MOTION,Miraflores,0,,,3,Mid-Level,universitario,4,Remoto,1,0,Contrato por Necesidades del Mercado,Completa,0,3
C484A843AEA7237761373E686DCF3405,Analista de Marketing,RAYMA E HIJOS S.A.C,San Luis,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
83DF6B7B617975B261373E686DCF3405,Analista (General),Punto de Distribucion SAC,Puente Piedra,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
359B70CF26FC80D461373E686DCF3405,Analista de Contabilidad / Nóminas,SNOW BOARDING S.A.C.,Ate,1,2700.0,Alto,0,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
