url_detalle,cargo_especifico,empresa_nombre,ubicacion_provincia,salario_mensual_base,experiencia_requerida,menciones_tecnologia,tipo_contrato,jornada,educacion_minima,modalidad
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-jr-de-rys-rubro-financiero-en-san-isidro-8C39916808949D3F61373E686DCF3405,Analista Jr de RyS / Rubro Financiero,Eurofirms Perú,"San Isidro, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-ves-villa-el-salvador-lima-en-villa-el-salvador-ED31FA4ABCE1FFAE61373E686DCF3405,Analista de Marketing Digital / VES,Grupo DN,"Villa El Salvador, Lima",,3.0,5,Contrato por Necesidades del Mercado,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-seleccion-procesos-bancarios-yo-call-center-chincha-en-lima-CDCE5090A62C406161373E686DCF3405,Analista de selección (Procesos bancarios y/o call center),Importante empresa del sector,"Lima, Lima",,,3,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Remoto
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-networking-en-surquillo-CA0D5356E06046B061373E686DCF3405,Analista de Networking,"4,4OPTICAL NETWORKS S.A.C.","Surquillo, Lima",1600.0,1.0,4,Contrato por Necesidades del Mercado,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-nominas-en-santiago-de-surco-DF233DDD6B51CFF761373E686DCF3405,Analista de Nóminas,"4,5Grupo Educa_d","Santiago De Surco, Lima",,3.0,4,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-con-experiencia-en-comas-B2DCEDB94C6928CA61373E686DCF3405,analista contable,Pyramid Businesses SAC,"Comas, Lima",,2.0,4,Contrato a Plazo Indeterminado,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-reclutamiento-y-seleccion-de-personal-procesos-masivos-call-center-en-lima-D7250A537BB8EDA361373E686DCF3405,Analista de reclutamiento y selección de personal,"4,3Salesland Pacífico","Lima, Lima",,1.0,4,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-senior-funcional-de-ti-en-santiago-de-surco-D445A45ABD2B191D61373E686DCF3405,Analista Senior Funcional de TI,"4,6Grupo Pacasmayo","Santiago De Surco, Lima",,3.0,4,Contrato a Plazo Indeterminado,Completa,universitario,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-compras-nacionales-san-martin-de-porres-en-san-martin-de-porres-1BE7291B2AC9510461373E686DCF3405,Analista de compras nacionales / San Martin de Porres,"4,2SaniCenter SAC","San Martin De Porres, Lima",,2.0,3,Contrato Ocasional,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-servicios-ti-jr-en-lima-AAC8B79904A9485561373E686DCF3405,Analista de Servicios TI Jr,"4,2Software Enterprise Services SAC","Lima, Lima",,1.0,4,Contrato por Obra Determinada o Servicio Específico,Completa,universitario,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-importaciones-ingles-avanzado-en-lima-20348AE4833758DC61373E686DCF3405,analista de importaciones,Importante empresa del sector Industrial,"Lima, Lima",2500.0,3.0,4,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-control-de-calidad-en-lurigancho-E529350278DE8D6A61373E686DCF3405,Analista de control de calidad,LABORATORIOS DROGAVET SAC,"Lurigancho, Lima",,1.0,3,Contrato por Necesidades del Mercado,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-de-seleccion-bilingue-con-experiencia-en-call-center-en-miraflores-B7ABF8EDDBF69DAD61373E686DCF3405,Analista de Calidad de Selecciòn Bilingue,Apex America Perú,"Miraflores, Lima",2500.0,2.0,4,Contrato de Temporada,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-funcional-senior-odoo-en-miraflores-DAEE43491B294C1E61373E686DCF3405,Analista Funcional Odoo,SAME MOTION,"Miraflores, Lima",,3.0,3,Contrato por Necesidades del Mercado,Completa,universitario,Remoto
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-en-san-luis-C484A843AEA7237761373E686DCF3405,Analista de Marketing,RAYMA E HIJOS S.A.C,"San Luis, Lima",,2.0,3,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-finanzas-lima-norte-en-puente-piedra-83DF6B7B617975B261373E686DCF3405,Analista de Finanzas,"4,2Punto de Distribucion SAC","Puente Piedra, Lima",,3.0,4,Contrato por Necesidades del Mercado,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-costos-en-ate-359B70CF26FC80D461373E686DCF3405,Analista de costos,"3,9SNOW BOARDING S.A.C.","Ate, Lima",2700.0,,4,Contrato por Necesidades del Mercado,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-compras-en-santiago-de-surco-120520CEC26C33E461373E686DCF3405,Analista de Compras,Empresa sector automotriz,"Santiago De Surco, Lima",,2.0,4,Contrato por Necesidades del Mercado,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-pruebas-qa-en-san-isidro-280417A41C74FE9361373E686DCF3405,Analista de pruebas QA,"4,3Choucair Testing S.A.","San Isidro, Lima",3600.0,,4,Contrato por Inicio o Incremento de Actividad,Completa,técnico,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-en-lima-A6D1C857E5A5CBD761373E686DCF3405,Analista de Datos,"4,2Software Enterprise Services SAC","Lima, Lima",,3.0,6,Contrato por Obra Determinada o Servicio Específico,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-comercialcontrol-de-inventario-stock-control-inventario-stock-en-la-victoria-345EFA95A8573F0161373E686DCF3405,Analista comercial/control de inventario stock,Importante empresa del sector,"La Victoria, Lima",,2.0,5,Contrato por Obra Determinada o Servicio Específico,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-administrativo-con-experiencia-en-big-four-en-san-isidro-016088CA9583982261373E686DCF3405,Analista Contable Administrativo,LOVA CONSULTING SOCIEDAD ANONIMA CERRADA,"San Isidro, Lima",,1.0,4,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-recursos-humanos-en-san-luis-EB5310421C7D280B61373E686DCF3405,Analista / Coordinador de Recursos Humanos,ETICOM PERU S.A.C.,"San Luis, Lima",,5.0,4,Contrato por Necesidades del Mercado,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-inventarios-en-san-borja-0A876FB19D6DD90D61373E686DCF3405,Analista de inventarios,EDI GLOBAL E.I.R.L.,"San Borja, Lima",1500.0,,4,Contrato por Inicio o Incremento de Actividad,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-business-intelligence-programa-de-soporte-al-paciente-en-san-isidro-D866EEFD1B51FEA661373E686DCF3405,Analista / business intelligence,LITYALABS BUSINESS PROCESS SOCIEDAD ANONIMA CERRADA,"San Isidro, Lima",2500.0,2.0,5,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-tesoreria-en-lima-34F649E0FDD6C51B61373E686DCF3405,Analista de tesorería,Importante empresa del sector,"Lima, Lima",,2.0,4,Contrato por Necesidades del Mercado,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemas-experiencia-en-rubro-tecnologico-en-ate-A3D3D728F790EDF761373E686DCF3405,Analista de sistemas,Kurmi color sac,"Ate, Lima",1600.0,1.0,5,Contrato por Necesidades del Mercado,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-full-stack-con-experiencia-en-barranco-F51726965BCF562561373E686DCF3405,Analista Programador Full Stack,INNOVATION CLEVERLY S.A.C,"Barranco, Lima",2200.0,2.0,4,Contrato a Plazo Indeterminado,Completa,técnico,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-facturacion-y-cobranza-empresa-inmobiliaria-en-la-molina-8CCB29F6DF2F164961373E686DCF3405,Analista de Facturación y Cobranza,CONSULTA UP S.A.C.,"La Molina, Lima",2100.0,3.0,5,Contrato por Inicio o Incremento de Actividad,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-odoo-en-miraflores-1A98FB637C0E697461373E686DCF3405,Analista Programador Odoo,SAME MOTION,"Miraflores, Lima",,3.0,5,Contrato por Necesidades del Mercado,Completa,universitario,Remoto
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-y-comunicaciones-con-amplia-experiencia-y-muy-creativo-en-san-juan-de-miraflores-E8E9148327E0E52661373E686DCF3405,Analista de Marketing y Comunicaciones,MVL INGENIEROS,"San Juan De Miraflores, Lima",,3.0,3,Contrato por Necesidades del Mercado,Completa,universitario,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-comercial-rubro-inmobiliario-en-lima-73EB7D00F0A44A0261373E686DCF3405,Analista Comercial (Rubro inmobiliario),DE & AD INGENIEROS S.A.C.,"Lima, Lima",,,5,Contrato Intermitente,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-help-desk-nivel-2-analista-de-soporte-en-lima-F1B97C688DD8088761373E686DCF3405,Help Desk nivel 2 / Analista de Soporte,"4,4Apuesta Total","Lima, Lima",,1.0,4,Contrato a Plazo Indeterminado,Completa,técnico,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-gtr-ventas-portabilidad-en-lima-EA241163B98B761D61373E686DCF3405,Analista GTR Ventas Portabilidad,"4,2RECSA PERÚ","Lima, Lima",,1.0,5,Contrato por Inicio o Incremento de Actividad,Completa,técnico,Presencial
